MARKER_ID,MARKER_ADDRESS,MARKER_STATUS,LAT,LON,ENVIRONMENT_NAME,A_ROAD_NAME,A_ROAD_TYPE,A_ROAD_SUFFIX,B_ROAD_NAME,B_ROAD_TYPE,B_ROAD_SUFFIX,LOCALITY,DirText
SPS029,,IN CAD,-38.001169,145.12601,MELBOURNE WATER 4,GOVERNOR,RD,,SPRINGVALE,RD,,BRAESIDE,EMERG MRKR SPS029: NEAREST I/S GOVERNOR RD & SPRINGVALE RD=> GDA94 LAT:-38.001169 LON:145.12601=> TRAVEL WEST 495M ON GOVERNOR RD TO BRAESIDE PARK REDGUM PICNIC AREA ENTRANCE=> THEN NORTH-WEST 1360M ON HOWARD RD TRAIL TO MORDIALLOC WET WEATHER PUMPING STATION. ALSO KNOWN AS SEWER PUMP STATION 029 - SPS029=> REMOVABLE BOLLARD AT ENTRANCE
VBB001,,IN CAD,-38.705495,145.811644,VENUS BAY BEACHES,VENUS BAY NUMBER ONE BEACH,RD,,SURF,DR,,VENUS BAY,EMERG MRKR VBB001: NEAREST I/S VENUS BAY NUMBER ONE BEACH RD & SURF DR=> GDA94 LAT:-38.705495 LON:145.811644=> TRAVEL SOUTH-WEST 130M ON VENUS BAY NUMBER ONE BEACH RD TO BEACH ACCESS TRACK
VBB003,,IN CAD,-38.697885,145.80447,VENUS BAY BEACHES,NUMBER THREE BEACH,RD,,CANTERBURY,RD,,VENUS BAY,EMERG MRKR VBB003: NEAREST I/S NUMBER THREE BEACH RD & CANTERBURY RD=> GDA94 LAT:-38.697885 LON:145.80447=> TRAVEL WEST 515M ON NUMBER THREE BEACH RD TO BEACH ACCESS TRACK AT WESTERN END OF CAR PARK
VBB002,,IN CAD,-38.699453,145.807523,VENUS BAY BEACHES,VENUS BAY NUMBER TWO BEACH,RD,,MONCUR,CT,,VENUS BAY,EMERG MRKR VBB002: NEAREST I/S VENUS BAY NUMBER TWO BEACH RD & MONCUR CT=> GDA94 LAT:-38.699453 LON:145.807523=> TRAVEL NORTH-WEST 365M ON VENUS BAY NUMBER TWO BEACH TO BEACH ACCESS TRACK AT WESTERN END OF CAR PARK
VBB004,,IN CAD,-38.682722,145.788058,VENUS BAY BEACHES,ZENNER,DR,,VENUS BAY NUMBER FOUR BEACH,RD,,VENUS BAY,EMERG MRKR VBB004: NEAREST I/S ZENNER DR & VENUS BAY NUMBER FOUR BEACH RD=> GDA94 LAT:-38.682722 LON:145.788058=> TRAVEL SOUTH-WEST 525M ON VENUS BAY NUMBER FOUR BEACH RD TO BEACH ACCESS TRACK AT SOUTHERN END OF CAR PARK
VBB005,,IN CAD,-38.677391,145.781381,VENUS BAY BEACHES,ATHERTON,DR,,VENUS BAY NUMBER FIVE BEACH,RD,,VENUS BAY,EMERG MRKR VBB005: NEAREST I/S ATHERTON DR & VENUS BAY NUMBER FIVE BEACH RD=> GDA94 LAT:-38.677391 LON:145.781381=> TRAVEL SOUTH-WEST 345M ON VENUS BAY NUMBER FIVE BEACH RD TO BEACH ACCESS TRACK AT SOUTH WEST END OF CAR PARK
VBB006,,IN CAD,-38.704919,145.814528,VENUS BAY BEACHES,SURF,DR,,JUPITER,BVD,,VENUS BAY,EMERG MRKR VBB006: NEAREST I/S SURF DR & JUPITER BVD=> GDA94 LAT:-38.704919 LON:145.814528=> TRAVEL SOUTH-WEST 390M ON SURF DRIVE TO ENTRANCE TO CAR PARK
PIN001,,IN CAD,-38.541032,145.343811,PHILLIP ISLAND NATURE PARK,WOOLAMAI BEACH,RD,,THE CRANNY,-,,CAPE WOOLAMAI,EMERG MRKR PIN001: NEAREST I/S WOOLAMAI BEACH RD & THE CRANNY -=> GDA94 LAT:-38.541032 LON:145.343811=> TRAVEL SOUTH 1345M ON WOOLAMAI BEACH RD TO CAR PARK=> THEN EAST 330M ON SANDY FOOT TRACK 50M FROM TOP OF CARPARK TO CLEELAND BIGHT. NO VEHICLE ACCESS. NO BEACH ACCESS AT HIGH TIDE. CAN BE ACCESSIBLE BY BOAT FROM SAN REMO=> CONTACT PHILLIP ISLAND NATURE PARK ON 5951 2800 FOR ASSISTANCE OR KEY ACCESS TO GATES AND CHAINS - LOCKED CHAIN
PIN002,,IN CAD,-38.550497,145.356931,PHILLIP ISLAND NATURE PARK,WOOLAMAI BEACH,RD,,THE CRANNY,-,,CAPE WOOLAMAI,EMERG MRKR PIN002: NEAREST I/S WOOLAMAI BEACH RD & THE CRANNY -=> GDA94 LAT:-38.550497 LON:145.356931=> TRAVEL SOUTH 1345M ON WOOLAMAI BEACH RD TO CAR PARK=> THEN SOUTH-EAST 1325M ON MNGT VEHICLE TRK. 4WD ONLY. VERY SOFT SAND. AERIAL EXTRACTION SHOULD BE CONSIDERED IF NON AMBULATORY. ROUGH VEHICLE TRACK=> CONTACT PHILLIP ISLAND NATURE PARK ON 5951 2800 FOR ASSISTANCE & KEYS TO LOCKED CHAINS=> THEN SOUTH-EAST 775M ON WOODLAND TRACK TO JUNCTION WITH QUARRY TRK=> THEN NORTH-EAST 730M ON OLD GRANITE QUARRY TRK. STEEP STEPS TO BEACH NO BEACH ACCESS AT HIGH TIDE.
PIN003,,IN CAD,-38.561677,145.357406,PHILLIP ISLAND NATURE PARK,WOOLAMAI BEACH,RD,,THE CRANNY,-,,CAPE WOOLAMAI,EMERG MRKR PIN003: NEAREST I/S WOOLAMAI BEACH RD & THE CRANNY -=> GDA94 LAT:-38.561677 LON:145.357406=> TRAVEL SOUTH 1345M ON WOOLAMAI BEACH RD TO CAR PARK=> THEN SOUTH-EAST 1325M ON MNGT VEHICLE TRK. 4WD ONLY. VERY SOFT SAND. AERIAL EXTRACTION SHOULD BE CONSIDERED IF NON AMBULATORY. ROUGH VEHICLE TRACK=> CONTACT PHILLIP ISLAND NATURE PARK ON 5951 2800 FOR ASSISTANCE & KEYS TO LOCKED CHAINS=> THEN SOUTH-EAST 775M ON WOODLAND TRACK TO JUNCTION WITH QUARRY TRK=> THEN SOUTH-EAST 710M UPHILL TO LOOK OUT.
PIN004,,IN CAD,-38.564889,145.357036,PHILLIP ISLAND NATURE PARK,WOOLAMAI BEACH,RD,,THE CRANNY,-,,CAPE WOOLAMAI,EMERG MRKR PIN004: NEAREST I/S WOOLAMAI BEACH RD & THE CRANNY -=> GDA94 LAT:-38.564889 LON:145.357036=> TRAVEL SOUTH 1345M ON WOOLAMAI BEACH RD TO CAR PARK=> THEN SOUTH-EAST 1325M ON MNGT VEHICLE TRK. 4WD ONLY. VERY SOFT SAND. AERIAL EXTRACTION SHOULD BE CONSIDERED IF NON AMBULATORY. ROUGH VEHICLE TRACK=> CONTACT PHILLIP ISLAND NATURE PARK ON 5951 2800 FOR ASSISTANCE & KEYS TO LOCKED CHAINS=> THEN SOUTH-EAST 775M ON WOODLAND TRACK TO JUNCTION WITH QUARRY TRK=> THEN SOUTH-EAST 1070M UPHILL ON 4WD TRK TO CAPE WOOLAMAI HILL LOOKOUT.
PIN007,,IN CAD,-38.558959,145.343517,PHILLIP ISLAND NATURE PARK,WOOLAMAI BEACH,RD,,THE CRANNY,-,,CAPE WOOLAMAI,EMERG MRKR PIN007: NEAREST I/S WOOLAMAI BEACH RD & THE CRANNY -=> GDA94 LAT:-38.558959 LON:145.343517=> TRAVEL SOUTH 1345M ON WOOLAMAI BEACH RD TO CAR PARK=> THEN SOUTH-EAST 1325M ON MNGT VEHICLE TRK. 4WD ONLY. VERY SOFT SAND. AERIAL EXTRACTION SHOULD BE CONSIDERED IF NON AMBULATORY. ROUGH VEHICLE TRACK=> CONTACT PHILLIP ISLAND NATURE PARK ON 5951 2800 FOR ASSISTANCE & KEYS TO LOCKED CHAINS=> THEN SOUTH-EAST 895M ON CLIFF TRACK TO THE PINNACLES LOOKOUT SEAT. ROUGH 4WD TRK.
PWS007,,IN CAD,-37.875643,144.676667,PACIFIC WERRIBEE SHOPPING,HEATHS,RD,,BARBER,DR,,WERRIBEE,EMERG MRKR PWS007: NEAREST I/S HEATHS RD & BARBER DR=> GDA94 LAT:-37.875643 LON:144.676667=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN EAST 40M ON HEATHS RD TO ACCESS AT KMART TYRE AT WESTERN SIDE OF SHOPPING CENTRE=> THEN NORTH 125M ON ACCESS RD AT K MART TYRES ON WEST SIDE OF CENTRE. CONTINUE TO PEDESTRIAN LIGHTS AND LOADING BAY 13
PWS006,,IN CAD,-37.873996,144.67814,PACIFIC WERRIBEE SHOPPING,DERRIMUT,RD,,BAGGOTT,DR,,WERRIBEE,EMERG MRKR PWS006: NEAREST I/S DERRIMUT RD & BAGGOTT DR=> GDA94 LAT:-37.873996 LON:144.67814=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN NORTH 160M ON DERRIMUT RD TO ACCESS ROAD FOUR=> THEN WEST 385M ON ACCESS ROAD FOUR TO ROUNDABOUT=> THEN SOUTH 60M AT ROUNDABOUT TO CAR PARK D=> THEN WEST 60M TO CENTRE ENTRANCE NEAR WOOLWORTHS
PWS005,,IN CAD,-37.874448,144.680162,PACIFIC WERRIBEE SHOPPING,DERRIMUT,RD,,BAGGOTT,DR,,HOPPERS CROSSING,EMERG MRKR PWS005: NEAREST I/S DERRIMUT RD & BAGGOTT DR=> GDA94 LAT:-37.874448 LON:144.680162=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN WEST 300M ON ACCESS RD THREE TO NORTHERN ENTRANCE IMMEDIATELY WEST OF KMART
PWS003,,IN CAD,-37.875693,144.681937,PACIFIC WERRIBEE SHOPPING,DERRIMUT,RD,,BAGGOTT,DR,,HOPPERS CROSSING,"EMERG MRKR PWS003: NEAREST I/S DERRIMUT RD & BAGGOTT DR=> GDA94 LAT:-37.875693 LON:144.681937=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN WEST 75M FROM DERRIMUT RD TURN INTO ACCESS 3 SOUTH AT CAR PARK B=> THEN SOUTH 140M INTO CARPARK B TO CINEMAS, URBAN DINER"
PWS004,,IN CAD,-37.874707,144.681837,PACIFIC WERRIBEE SHOPPING,DERRIMUT,RD,,BAGGOTT,DR,,HOPPERS CROSSING,EMERG MRKR PWS004: NEAREST I/S DERRIMUT RD & BAGGOTT DR=> GDA94 LAT:-37.874707 LON:144.681837=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN WEST 145M ON ACCESS ROAD THREE TO ENTRANCE ON NORTH SIDE
PWS002,,IN CAD,-37.877154,144.681405,PACIFIC WERRIBEE SHOPPING,HEATHS,RD,,DERRIMUT,RD,,HOPPERS CROSSING,EMERG MRKR PWS002: NEAREST I/S HEATHS RD & DERRIMUT RD=> GDA94 LAT:-37.877154 LON:144.681405=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN WEST 125M ON HEATHS RD TO EMERGENCY VEHICLE ACCESS BAY ON NORTHERN SIDE OF HEATHS RD
PWS001,,IN CAD,-37.876774,144.677515,PACIFIC WERRIBEE SHOPPING,HEATHS,RD,,BARBER,DR,,WERRIBEE,EMERG MRKR PWS001: NEAREST I/S HEATHS RD & BARBER DR=> GDA94 LAT:-37.876774 LON:144.677515=> CONTACT CENTRE SECURITY ON 0409 179 285=> THEN EAST 160M ON HEATHS RD TO MEDICAL CENTRE EMERGENCY VEHICLE PARKING BAY ON ROADSIDE AT MARKER LOCATION
ELT044,,IN CAD,-37.922489,145.203481,EASTLINK,WELLINGTON,RD,,HAVERBRACK,DR,,WHEELERS HILL,EMERG MRKR ELT044: NEAREST I/S WELLINGTON RD & HAVERBRACK DR=> GDA94 LAT:-37.922489 LON:145.203481=> ACCESS TO LOCKED GATES CONTACT MONASH COUNCIL B/H 9518377 A/H 99090621=> TRAVEL EAST 360M ON WELLINGTON ROAD TO ENTRANCE EASTLINK TRAIL LOCKED BOLLARD WITH NARROW ENTRANCE=> TRAIL WEST SIDE OF DANDENONG CREEK - ACCESS UNSUITABLE FOR LARGE APPLIANCES=> THEN NORTH 300M ON EASTLINK TRAIL
MOR566,,IN CAD,-38.371986,144.766921,MORNINGTON PENINSULA NATIONAL PARK,ST JOHNS WOOD,RD,,SINCLAIR,ST,,BLAIRGOWRIE,EMERG MRKR MOR566: NEAREST I/S ST JOHNS WOOD RD & SINCLAIR ST=> GDA94 LAT:-38.371986 LON:144.766921=> TRAVEL SOUTH-WEST 280M ON ST JOHNS WOOD RD TO CAR PARK TAKE WESTERN WALKING TRACK TO FOWLERS BEACH
FCR008,,IN CAD,-36.861984,147.277085,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,GULLY CAR PARK,RD,,FALLS CREEK,EMERG MRKR FCR008: NEAREST I/S BOGONG HIGH PLAINS RD & GULLY CAR PARK RD=> GDA94 LAT:-36.861984 LON:147.277085=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 45M ACROSS BOGONG HIGH PLAINS RD TO BHP SHUTTLE STOP THE GULLY
FCR009,,IN CAD,-36.861847,147.277758,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,GULLY CAR PARK,RD,,FALLS CREEK,EMERG MRKR FCR009: NEAREST I/S BOGONG HIGH PLAINS RD & GULLY CAR PARK RD=> GDA94 LAT:-36.861847 LON:147.277758=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN EAST 50M IN CAR PARK NORTH EAST OF MEDICAL CENTRE AT PACKHORSE DISCHARGE TRAILHEAD
FCR012,,IN CAD,-36.863443,147.282102,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,SLALOM,ST,,FALLS CREEK,EMERG MRKR FCR012: NEAREST I/S BOGONG HIGH PLAINS RD & SLALOM ST=> GDA94 LAT:-36.863443 LON:147.282102=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN WEST 25M DOWNHILL ON BOGONG HIGH PLAINS RD TO SLALOM PLAZA
FCR011,,IN CAD,-36.863254,147.283012,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,SLALOM,ST,,FALLS CREEK,EMERG MRKR FCR011: NEAREST I/S BOGONG HIGH PLAINS RD & SLALOM ST=> GDA94 LAT:-36.863254 LON:147.283012=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-EAST 65M ACROSS CARPARK TO INDUCTION DISCHARGE TRAILHEAD
FCR013,,IN CAD,-36.864457,147.282041,FALLS CREEK RESORT,SLALOM,ST,,WOMBATS RAMBLE SKI,RUN,,FALLS CREEK,EMERG MRKR FCR013: NEAREST I/S SLALOM ST & WOMBATS RAMBLE SKI RUN=> GDA94 LAT:-36.864457 LON:147.282041=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN EAST 20M AT JUNCTION OF SLALOM ST & WOMBATS RAMBLE SKI RUN
FCR014,,IN CAD,-36.864442,147.285911,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,WINDY CORNER CAR PARK,RD,,FALLS CREEK,EMERG MRKR FCR014: NEAREST I/S BOGONG HIGH PLAINS RD & WINDY CORNER CAR PARK RD=> GDA94 LAT:-36.864442 LON:147.285911=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-WEST 90M THROUGH CAR PARK TO WINDY CORNER SHELTER
FCR015,,IN CAD,-36.865762,147.285249,FALLS CREEK RESORT,AQUEDUCT,TRL,,AITKENS,TRL,,FALLS CREEK,EMERG MRKR FCR015: NEAREST I/S AQUEDUCT TRL & AITKENS TRL=> GDA94 LAT:-36.865762 LON:147.285249=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN EAST 10M ON AQUEDUCT TRAIL
FCR001,,IN CAD,-36.864126,147.281178,FALLS CREEK RESORT,SLALOM,ST,,CHRISTIE,ST,,FALLS CREEK,EMERG MRKR FCR001: NEAREST I/S SLALOM ST & CHRISTIE ST=> GDA94 LAT:-36.864126 LON:147.281178=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-EAST 75M ON SLALOM ST TO SLALOM PLAZA - PV LODGE
FCR016,,IN CAD,-36.865801,147.280555,FALLS CREEK RESORT,PARALLEL,ST,,SCHUSS,ST,,FALLS CREEK,EMERG MRKR FCR016: NEAREST I/S PARALLEL ST & SCHUSS ST=> GDA94 LAT:-36.865801 LON:147.280555=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN EAST 250M ON PARALLEL ST
FCR017,,IN CAD,-36.86795,147.286591,FALLS CREEK RESORT,GRAVITY MAINS SKI,RUN,,AITKENS SKI,RUN,,FALLS CREEK,EMERG MRKR FCR017: NEAREST I/S GRAVITY MAINS SKI RUN & AITKENS SKI RUN=> GDA94 LAT:-36.86795 LON:147.286591=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-EAST 5M ON GRAVITY MAINS TRAIL=> 4WD REQUIRED
FCR010,,IN CAD,-36.862784,147.279249,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,FALLS CREEK,RD,,FALLS CREEK,EMERG MRKR FCR010: NEAREST I/S BOGONG HIGH PLAINS RD & FALLS CREEK RD=> GDA94 LAT:-36.862784 LON:147.279249=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN WEST 30M DOWNHILL ON BOGONG HIGH PLAINS RD TO OLD GOODS SHED - ACCOMMODATION TRANSFER SERVICE - ATS
FCR002,,IN CAD,-36.864222,147.278663,FALLS CREEK RESORT,SLALOM,ST,,ARLBERG,ST,,FALLS CREEK,EMERG MRKR FCR002: NEAREST I/S SLALOM ST & ARLBERG ST=> GDA94 LAT:-36.864222 LON:147.278663=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-EAST 15M ON SLALOM ST TO FALLS CREEK CENTRAL - FCC
FCR006,,IN CAD,-36.864944,147.277238,FALLS CREEK RESORT,SCHUSS,ST,,PARALLEL,ST,,FALLS CREEK,EMERG MRKR FCR006: NEAREST I/S SCHUSS ST & PARALLEL ST=> GDA94 LAT:-36.864944 LON:147.277238=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 75M ON SCHUSS ST
FCR003,,IN CAD,-36.863861,147.276927,FALLS CREEK RESORT,FALLS CREEK,RD,,SLALOM,ST,,FALLS CREEK,EMERG MRKR FCR003: NEAREST I/S FALLS CREEK RD & SLALOM ST=> GDA94 LAT:-36.863861 LON:147.276927=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 15M AT WINTERHAVEN CORNER
FCR004,,IN CAD,-36.864357,147.275901,FALLS CREEK RESORT,FALLS CREEK,RD,,SITZMARK,ST,,FALLS CREEK,EMERG MRKR FCR004: NEAREST I/S FALLS CREEK RD & SITZMARK ST=> GDA94 LAT:-36.864357 LON:147.275901=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 20M ON FALLS CREEK RD AT ALBURY CORNER
FCR005,,IN CAD,-36.865463,147.273977,FALLS CREEK RESORT,FALLS CREEK,RD,,VILLAGE BOWL,CT,,FALLS CREEK,EMERG MRKR FCR005: NEAREST I/S FALLS CREEK RD & VILLAGE BOWL CT=> GDA94 LAT:-36.865463 LON:147.273977=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-EAST 5M ON FALLS CREEK RD AT THE VILLAGE BOWL
FCR031,,IN CAD,-36.857824,147.270813,FALLS CREEK RESORT,AQUEDUCT,TRL,,VILLAGE RUN SKI,RUN,,FALLS CREEK,EMERG MRKR FCR031: NEAREST I/S AQUEDUCT TRL & VILLAGE RUN SKI RUN=> GDA94 LAT:-36.857824 LON:147.270813=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-EAST 910M UPHILL ON AQUEDUCT TRAIL AT WISHING WELL=> 4WD ONLY
FCR029,,IN CAD,-36.864894,147.265901,FALLS CREEK RESORT,ZIPPER SKI,RUN,,FRYING PAN SPUR,TRL,,FALLS CREEK,EMERG MRKR FCR029: NEAREST I/S ZIPPER SKI RUN & FRYING PAN SPUR TRL=> GDA94 LAT:-36.864894 LON:147.265901=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 5M AT JUNCTION OF ZIPPER SKI RUN AND FRYING PAN SPUR TRAIL - THE SUMMIT
FCR033,,IN CAD,-36.871161,147.264099,FALLS CREEK RESORT,MT MCKAY,RD,,ROAD TWENTY FOUR,-,,FALLS CREEK,EMERG MRKR FCR033: NEAREST I/S MT MCKAY RD & ROAD TWENTY FOUR -=> GDA94 LAT:-36.871161 LON:147.264099=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN WEST 5M AT JUNCTION OF MT MCKAY LOOP AND ROAD TWENTY FOUR
FCR028,,IN CAD,-36.872285,147.268377,FALLS CREEK RESORT,PRETTY VALLEY,RD,,MT MCKAY,RD,,FALLS CREEK,EMERG MRKR FCR028: NEAREST I/S PRETTY VALLEY RD & MT MCKAY RD=> GDA94 LAT:-36.872285 LON:147.268377=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN WEST 5M ON MT MCKAY RD AT START OF MT MCKAY LOOP
FCR027,,IN CAD,-36.8706,147.269717,FALLS CREEK RESORT,PRETTY VALLEY,RD,,SUMMIT,RD,,FALLS CREEK,EMERG MRKR FCR027: NEAREST I/S PRETTY VALLEY RD & SUMMIT RD=> GDA94 LAT:-36.8706 LON:147.269717=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 5M AT JUNCTION OF PRETTY VALLEY RD AND SUMMIT RD
FCR026,,IN CAD,-36.869314,147.282573,FALLS CREEK RESORT,PRETTY VALLEY,RD,,WOMBATS RAMBLE SKI,RUN,,FALLS CREEK,EMERG MRKR FCR026: NEAREST I/S PRETTY VALLEY RD & WOMBATS RAMBLE SKI RUN=> GDA94 LAT:-36.869314 LON:147.282573=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN EAST 20M ON PRETTY VALLEY RD AT WOMBATS TRAIL HEAD
FCR025,,IN CAD,-36.869694,147.285223,FALLS CREEK RESORT,GRAVITY MAINS SKI,RUN,,AITKENS SKI,RUN,,FALLS CREEK,EMERG MRKR FCR025: NEAREST I/S GRAVITY MAINS SKI RUN & AITKENS SKI RUN=> GDA94 LAT:-36.869694 LON:147.285223=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-WEST 245M ON PIPELINE TRK WITH LITTLE CANADA NORTH=> 4WD REQUIRED
FCR018,,IN CAD,-36.869531,147.287776,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,AQUEDUCT SKI,RUN,,FALLS CREEK,EMERG MRKR FCR018: NEAREST I/S BOGONG HIGH PLAINS RD & AQUEDUCT SKI RUN=> GDA94 LAT:-36.869531 LON:147.287776=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-EAST 5M AT ENTRANCE TO NORDIC BOWL AT JUNCTION OF BOGONG HIGH PLAINS RD AND AQUEDUCT TRL
FCR024,,IN CAD,-36.872742,147.286414,FALLS CREEK RESORT,PRETTY VALLEY,RD,,GRAVITY MAINS,TRL,,FALLS CREEK,EMERG MRKR FCR024: NEAREST I/S PRETTY VALLEY RD & GRAVITY MAINS TRL=> GDA94 LAT:-36.872742 LON:147.286414=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN NORTH-WEST 5M AT JUNCTION OF PRETTY VALLEY RD AND TANK TRL
FCR019,,IN CAD,-36.872563,147.288033,FALLS CREEK RESORT,BOGONG HIGH PLAINS,RD,,PRETTY VALLEY,RD,,FALLS CREEK,EMERG MRKR FCR019: NEAREST I/S BOGONG HIGH PLAINS RD & PRETTY VALLEY RD=> GDA94 LAT:-36.872563 LON:147.288033=> TRAVEL CONTACT FALLS CREEK RESORT MANAGEMENT - FCRM - ON 03 5758 1200 FOR BEST ACCESS ADVICE=> ALL VEHICLES MUST CARRY SNOW CHAINS IN WINTER=> THEN SOUTH-EAST 5M AT JUNCTION OF BOGONG HIGH PLAINS RD AND MCKAY RD
